Player,Team,Age,Pos,G,GS,Wins,Pass Completions,Pass Attempts,Cmp%,Pass Yards,Pass TD,Pass TD%,Pass First Down,Pass Long,Pass Y/A,AY/A,Y/C,Y/G,Passer Rating,QBR,Sacks,Sack Yards,Sack%,NY/A,ANY/A,4QC,GWD,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Fumbles,Fumbles Lost,Interceptions,Total Turnovers ,Average Local TV Viewers (Per Million)
Tom Brady,TAM,44,QB,17,17,13,485,719,67.5,5316,43,6,269,62,7.4,7.8,11,312.7,102.1,68.1,22,144,3,6.98,7.41,3,5,28,81,2,14,13,2.9,4.8,4,4,12,16,21.76
Justin Herbert,LAC,23,QB,17,17,9,443,672,65.9,5014,38,5.7,256,72,7.5,7.6,11.3,294.9,97.7,65.6,31,214,4.4,6.83,6.95,5,5,63,302,3,28,36,4.8,17.8,1,0,15,15,8.49
Matthew Stafford,LAR,33,QB,17,17,12,404,601,67.2,4886,41,6.8,233,79,8.1,8.2,12.1,287.4,102.9,63.8,30,243,4.8,7.36,7.45,3,4,32,43,0,8,12,1.3,2.5,5,2,17,19,10.52
Patrick Mahomes,KAN,26,QB,17,17,12,436,658,66.3,4839,37,5.6,260,75,7.4,7.6,11.1,284.6,98.5,62.2,28,146,4.1,6.84,7.07,3,3,66,381,2,25,32,5.8,22.4,9,4,13,17,45.28
Derek Carr,LVR,30,QB,17,17,10,428,626,68.4,4804,23,3.7,217,61,7.7,7.4,11.2,282.6,94,52.4,40,241,6,6.85,6.6,3,6,40,108,0,9,22,2.7,6.4,13,6,14,20,16.22
Joe Burrow,CIN,25,QB,16,16,10,366,520,70.4,4611,34,6.5,202,82,8.9,9,12.6,288.2,108.3,54.3,51,370,8.9,7.43,7.51,2,3,40,118,2,14,12,3,7.4,5,2,14,16,28.85
Dak Prescott,DAL,28,QB,16,16,11,410,596,68.8,4449,37,6.2,227,51,7.5,8,10.9,278.1,104.2,54.6,30,144,4.8,6.88,7.34,1,2,48,146,1,7,21,3,9.1,14,6,10,16,29.55
Josh Allen,BUF,25,QB,17,17,11,409,646,63.3,4407,36,5.6,234,61,6.8,6.9,10.8,259.2,92.2,60.7,26,164,3.9,6.31,6.38,0,0,122,763,6,54,34,6.3,44.9,8,3,15,18,47.16
Kirk Cousins,MIN,33,QB,16,16,8,372,561,66.3,4221,33,5.9,192,64,7.5,8.1,11.3,263.8,103.1,52.3,28,197,4.8,6.83,7.42,3,4,29,115,1,8,29,4,7.2,12,2,7,9,28.89
Aaron Rodgers,GNB,38,QB,16,16,13,366,531,68.9,4115,37,7,213,75,7.7,8.8,11.2,257.2,111.9,69.1,30,188,5.3,7,8,1,2,33,101,3,10,18,3.1,6.3,3,0,4,4,41.57
